,Bulk Carrier,Cargo Ship,Chemical Tanker,Container Ship,Fishing Ship,LNG Carrier,Other Cargo,Passenger Ship,Pleasure Craft,Reefer Ship,Ro-Ro Ship,Tanker,Tug,Vehicle Carrier
Bulk Carrier,29,0,0,2,0,0,0,1,0,0,0,0,1,1
Cargo Ship,0,25,0,2,0,1,0,2,0,1,0,1,0,4
Chemical Tanker,0,1,15,0,0,0,0,0,0,0,0,0,0,0
Container Ship,0,2,0,22,0,0,0,0,0,3,1,0,0,1
Fishing Ship,1,1,0,0,33,0,0,0,0,0,0,0,0,0
LNG Carrier,0,0,0,1,0,1,1,0,0,1,1,0,1,0
Other Cargo,0,0,0,0,0,0,4,0,0,0,0,0,1,0
Passenger Ship,1,1,0,1,0,0,0,23,0,0,0,0,2,0
Pleasure Craft,1,0,0,0,1,0,0,0,3,0,0,0,0,0
Reefer Ship,0,2,0,4,0,0,0,1,0,16,0,0,1,1
Ro-Ro Ship,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Tanker,0,0,0,0,1,0,0,0,0,1,0,31,0,1
Tug,1,0,0,0,2,1,0,0,0,1,0,1,20,0
Vehicle Carrier,3,3,1,3,1,0,0,1,0,5,0,0,0,9
