class_id,class_name,precision,recall,f1,support
0,Bulk Carrier,0.84375,0.7941176470588235,0.8181818181818182,34
1,Cargo Ship,0.6486486486486487,0.6666666666666666,0.6575342465753424,36
2,Chemical Tanker,0.9375,0.9375,0.9375,16
3,Container Ship,0.6666666666666666,0.8275862068965517,0.7384615384615385,29
4,Fishing Ship,0.8918918918918919,0.9428571428571428,0.9166666666666666,35
5,LNG Carrier,0.2857142857142857,0.3333333333333333,0.3076923076923077,6
6,Other Cargo,1.0,1.0,1.0,5
7,Passenger Ship,0.8214285714285714,0.8214285714285714,0.8214285714285714,28
8,Pleasure Craft,1.0,0.8,0.8888888888888888,5
9,Reefer Ship,0.5862068965517241,0.68,0.6296296296296297,25
10,Ro-Ro Ship,0.9615384615384616,1.0,0.9803921568627451,25
11,Tanker,0.9354838709677419,0.8529411764705882,0.8923076923076924,34
12,Tug,0.8181818181818182,0.6923076923076923,0.75,26
13,Vehicle Carrier,0.45,0.34615384615384615,0.391304347826087,26
