class_id,class_name,precision,recall,f1,support
0,Bulk Carrier,0.8055555555555556,0.8529411764705882,0.8285714285714286,34
1,Cargo Ship,0.7142857142857143,0.6944444444444444,0.704225352112676,36
2,Chemical Tanker,0.9375,0.9375,0.9375,16
3,Container Ship,0.6285714285714286,0.7586206896551724,0.6875,29
4,Fishing Ship,0.868421052631579,0.9428571428571428,0.9041095890410958,35
5,LNG Carrier,0.3333333333333333,0.16666666666666666,0.2222222222222222,6
6,Other Cargo,0.8,0.8,0.8,5
7,Passenger Ship,0.8214285714285714,0.8214285714285714,0.8214285714285714,28
8,Pleasure Craft,1.0,0.6,0.75,5
9,Reefer Ship,0.5714285714285714,0.64,0.6037735849056604,25
10,Ro-Ro Ship,0.9259259259259259,1.0,0.9615384615384616,25
11,Tanker,0.9393939393939394,0.9117647058823529,0.9253731343283582,34
12,Tug,0.7692307692307693,0.7692307692307693,0.7692307692307693,26
13,Vehicle Carrier,0.5294117647058824,0.34615384615384615,0.4186046511627907,26
