class_id,class_name,precision,recall,f1,support
0,Bulk Carrier,0.8787878787878788,0.8529411764705882,0.8656716417910447,34
1,Cargo Ship,0.7058823529411765,0.6666666666666666,0.6857142857142857,36
2,Chemical Tanker,0.9375,0.9375,0.9375,16
3,Container Ship,0.6764705882352942,0.7931034482758621,0.7301587301587301,29
4,Fishing Ship,0.868421052631579,0.9428571428571428,0.9041095890410958,35
5,LNG Carrier,0.3333333333333333,0.3333333333333333,0.3333333333333333,6
6,Other Cargo,1.0,1.0,1.0,5
7,Passenger Ship,0.7419354838709677,0.8214285714285714,0.7796610169491526,28
8,Pleasure Craft,1.0,0.8,0.8888888888888888,5
9,Reefer Ship,0.6153846153846154,0.64,0.6274509803921569,25
10,Ro-Ro Ship,0.9615384615384616,1.0,0.9803921568627451,25
11,Tanker,0.967741935483871,0.8823529411764706,0.9230769230769231,34
12,Tug,0.7692307692307693,0.7692307692307693,0.7692307692307693,26
13,Vehicle Carrier,0.55,0.4230769230769231,0.4782608695652174,26
