trial,value,state,num_leaves,max_depth,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
0,0.6927373141712457,COMPLETE,60,11,0.0511569610875855,46,0.7118273996694524,0.8229470565333281,3,0.13620216352659412,0.5120378720005675
1,0.6778212706228687,COMPLETE,47,12,0.041882123402934804,48,0.9627983191463305,0.5355180290989434,0,1.4512665303724043e-08,0.04580983888874032
2,0.6754914307785315,COMPLETE,79,13,0.14156127914229746,65,0.7307396811264659,0.8902645881432277,0,0.001316340279131417,1.4022527463902708e-07
3,0.6877884852430735,COMPLETE,92,9,0.030738331012839976,25,0.8871168447171083,0.7280751661082743,4,1.4135735278417051e-08,0.0008731401853192552
4,0.6635240203121393,COMPLETE,65,10,0.12880533927447074,56,0.679753950286893,0.7185159768996707,5,3.0325206929428826e-08,0.0021584089022890717
5,0.6885756791019085,COMPLETE,70,6,0.014178460960542424,28,0.6818553854713113,0.7850983852089398,3,0.8072177525850062,6.551767629681091e-08
6,0.6905467252682749,COMPLETE,32,5,0.05862933831352883,24,0.7331553864281531,0.6222127960008014,1,7.638377698149978e-08,0.001780888443562035
7,0.6850637365776722,COMPLETE,27,6,0.027142787723697524,67,0.5485506378965306,0.918972453749402,0,0.6481502906344189,5.613188324247261e-05
8,0.6917314612580683,COMPLETE,95,10,0.07403574209283642,7,0.6414034812882048,0.5600982806065844,2,8.908852152588355e-08,3.4983675436000694e-06
9,0.6923602212817936,COMPLETE,49,4,0.06522444716104205,48,0.6326947454697227,0.7616240267333498,0,0.0004051090678768292,0.27187519175544705
10,0.684336407317023,COMPLETE,17,14,0.010578547610974345,75,0.8434624314393884,0.9892935672888842,6,0.009820908632924768,0.899252679780103
11,0.681674026204592,COMPLETE,50,8,0.07128897015061937,40,0.5518834932641608,0.7987706968157051,7,1.1387964701004069e-05,0.6089167062315134
12,0.6974556092307403,COMPLETE,43,4,0.04725317670333868,41,0.8120062137572841,0.8497187741688019,2,2.645250286267185e-05,0.04963517310539984
13,0.6908213887512861,COMPLETE,38,11,0.022122130899590916,39,0.8195446119023818,0.8565374613612549,3,1.0705508018247425e-05,0.02073098778351063
14,0.6785871787569571,COMPLETE,61,8,0.04563870350335733,34,0.8179158365661697,0.6548376363859398,2,0.030503401688593734,0.029621053104507827
15,0.6620556963756956,COMPLETE,78,7,0.09909112094508606,11,0.9602676677739663,0.9675211255275362,4,3.6269972327369562e-06,4.4630255133957904e-05
16,0.6913058340651228,COMPLETE,40,12,0.01870809881010184,55,0.7800950226245175,0.8455631435999869,2,9.250246518643956e-07,0.0733770375410769
17,0.6824477699185821,COMPLETE,56,4,0.03516942847329076,56,0.896497292465459,0.8233283189976385,5,9.590151384525307e-05,0.005319906615027196
18,0.6818312829267271,COMPLETE,74,10,0.05462338973541167,20,0.500989000936351,0.9237796088172915,1,0.029110482854175876,0.00038491630881473015
19,0.6712754618770863,COMPLETE,57,14,0.09440480940017869,34,0.77014155895905,0.6690560724402941,3,9.190310584999057e-05,3.0264310361879573e-06
20,0.6804267901337039,COMPLETE,19,8,0.04593059338044765,46,0.8888490150595993,0.8605218182596117,1,0.0025202751683533822,0.17651736476186677
21,0.6912612587539156,COMPLETE,46,4,0.06465140345643765,50,0.6193833156076647,0.7835872087407016,2,0.0006256749143946026,0.24816502600596435
22,0.6940539646708359,COMPLETE,51,5,0.09069193165387955,42,0.6833467930240011,0.7538993868607567,1,0.1471458899699306,0.01023369477299574
