class_id,class_name,rank,feature_idx,feature_name,mean_abs_shap
0,Bulk Carrier,1,117,duration,0.34975986594125147
0,Bulk Carrier,2,166,traj_len,0.27027257300432395
0,Bulk Carrier,3,43,trans_emb_43,0.25940172757581365
0,Bulk Carrier,4,14,trans_emb_14,0.22869948687822214
0,Bulk Carrier,5,0,trans_emb_0,0.07664795428163228
0,Bulk Carrier,6,28,trans_emb_28,0.06453986755005849
0,Bulk Carrier,7,1,trans_emb_1,0.053754189714103444
0,Bulk Carrier,8,23,trans_emb_23,0.05284371508082487
0,Bulk Carrier,9,46,trans_emb_46,0.047455468595583715
0,Bulk Carrier,10,136,cog_fft2,0.03613238276829301
1,Cargo Ship,1,3,trans_emb_3,0.5680121003126096
1,Cargo Ship,2,46,trans_emb_46,0.21723449169803868
1,Cargo Ship,3,11,trans_emb_11,0.13044845719636866
1,Cargo Ship,4,4,trans_emb_4,0.12679252435405525
1,Cargo Ship,5,60,trans_emb_60,0.09046861746495816
1,Cargo Ship,6,61,trans_emb_61,0.07641823601474865
1,Cargo Ship,7,43,trans_emb_43,0.06983021437814947
1,Cargo Ship,8,28,trans_emb_28,0.06415826393567732
1,Cargo Ship,9,32,trans_emb_32,0.053819283219142484
1,Cargo Ship,10,5,trans_emb_5,0.05294696757807261
2,Chemical Tanker,1,55,trans_emb_55,0.5059465290963086
2,Chemical Tanker,2,30,trans_emb_30,0.07268822979237374
2,Chemical Tanker,3,4,trans_emb_4,0.055517039158016215
2,Chemical Tanker,4,26,trans_emb_26,0.044037303493747085
2,Chemical Tanker,5,112,curv_max,0.03525723884111148
2,Chemical Tanker,6,7,trans_emb_7,0.0329946192015575
2,Chemical Tanker,7,31,trans_emb_31,0.027059861184565864
2,Chemical Tanker,8,44,trans_emb_44,0.021552240993307204
2,Chemical Tanker,9,56,trans_emb_56,0.019677429808156507
2,Chemical Tanker,10,110,curv_mean,0.017793509947082516
3,Container Ship,1,32,trans_emb_32,0.6861718123926973
3,Container Ship,2,53,trans_emb_53,0.1761809964356855
3,Container Ship,3,45,trans_emb_45,0.11486180453148226
3,Container Ship,4,58,trans_emb_58,0.1000655872322879
3,Container Ship,5,57,trans_emb_57,0.08651595540773016
3,Container Ship,6,49,trans_emb_49,0.08319058042832003
3,Container Ship,7,11,trans_emb_11,0.07660946063287626
3,Container Ship,8,50,trans_emb_50,0.06414470717167585
3,Container Ship,9,154,seg1_sog_std,0.06400369705064249
3,Container Ship,10,95,dsog_max,0.055215036138782994
4,Fishing Ship,1,16,trans_emb_16,0.918281174364838
4,Fishing Ship,2,34,trans_emb_34,0.1763534994292919
4,Fishing Ship,3,38,trans_emb_38,0.05465653518466461
4,Fishing Ship,4,49,trans_emb_49,0.051900091747661206
4,Fishing Ship,5,20,trans_emb_20,0.051343352543243605
4,Fishing Ship,6,55,trans_emb_55,0.0492891422501926
4,Fishing Ship,7,130,sog_fft1,0.04814065111850587
4,Fishing Ship,8,23,trans_emb_23,0.03823900421518219
4,Fishing Ship,9,42,trans_emb_42,0.03643590605309768
4,Fishing Ship,10,106,acc_std,0.03502625380771086
5,LNG Carrier,1,52,trans_emb_52,0.20829144666373114
5,LNG Carrier,2,55,trans_emb_55,0.13393971030588545
5,LNG Carrier,3,2,trans_emb_2,0.11228722624724877
5,LNG Carrier,4,20,trans_emb_20,0.10357135216756952
5,LNG Carrier,5,6,trans_emb_6,0.08458372863968802
5,LNG Carrier,6,45,trans_emb_45,0.06591776070843124
5,LNG Carrier,7,117,duration,0.03386965672247553
5,LNG Carrier,8,51,trans_emb_51,0.029260301570948673
5,LNG Carrier,9,63,trans_emb_63,0.02884163461565069
5,LNG Carrier,10,18,trans_emb_18,0.027494878522533
6,Other Cargo,1,8,trans_emb_8,0.1925233153124466
6,Other Cargo,2,6,trans_emb_6,0.1490070052413946
6,Other Cargo,3,18,trans_emb_18,0.0477612756602845
6,Other Cargo,4,32,trans_emb_32,0.03735620642552239
6,Other Cargo,5,83,cog_max,0.03304151608618361
6,Other Cargo,6,34,trans_emb_34,0.01851440879650423
6,Other Cargo,7,77,sog_q90,0.010897881788127249
